Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.25,0.32,3.62,1.54,6.85,0.55,35.48,0.5,2.48,11.6,3.32,0.2,39.89,1.24,Dries Mertens,dries-mertens,Galatasaray,
0.24,0.16,1.91,0.76,12.5,1.0,60.0,0.57,2.76,15.44,4.34,0.71,54.08,1.62,Valentin Eysseric,valentin-eysseric,Fatih Karagümrük,
0.24,0.14,1.43,0.36,16.67,0.83,33.33,0.36,1.19,9.75,3.69,0.48,46.05,1.43,Carlos Mané,carlos-mane,Kayserispor,
0.24,0.24,2.03,0.8,11.63,1.04,59.46,0.28,1.42,8.6,2.88,0.57,46.2,0.95,João Novais,joao-novais,Alanyaspor,
0.23,0.13,1.23,0.41,19.05,0.93,48.48,0.29,1.34,5.43,3.68,1.46,41.12,1.52,Benhur Keser,benhur-keser,Çaykur Rizespor,
0.23,0.21,2.09,0.87,11.11,0.99,68.0,0.06,0.52,3.9,2.44,1.63,33.65,1.16,Ali Sowe,ali-sowe,MKE Ankaragücü,
0.23,0.08,1.1,0.49,20.69,1.14,66.67,0.11,1.18,9.5,3.46,1.67,53.36,1.03,Mortadha Ben Ouanes,mortadha-ben-ouanes,Kasımpaşa,
0.23,0.2,2.38,0.91,9.52,1.02,41.86,0.4,1.99,9.2,3.63,0.28,43.67,1.42,Milot Rashica,milot-rashica,Beşiktaş,
0.22,0.23,2.39,0.87,9.09,1.74,61.54,0.0,0.87,4.35,3.04,1.3,34.48,1.09,Britt Assombalonga,britt-assombalonga,Antalyaspor,
0.22,0.1,0.91,0.39,23.81,0.83,50.0,0.26,0.91,6.25,3.13,1.43,47.73,0.48,Rigoberto Rivas,rigoberto-rivas,Hatayspor,
0.21,0.07,0.29,0.21,75.0,1.36,57.58,0.0,0.36,7.29,4.79,0.57,57.25,1.43,Bright Osayi-Samuel,bright-osayi-samuel,Fenerbahçe,
0.21,0.12,2.11,0.42,10.0,0.0,0.0,0.21,1.26,16.86,2.95,2.53,48.15,0.63,Soner Aydoğdu,soner-aydogdu,Yılport Samsunspor,
0.21,0.14,2.25,0.89,9.3,1.36,53.06,0.16,1.68,11.2,4.35,0.16,48.31,1.68,Enis Bardhi,enis-bardhi,Trabzonspor,
0.21,0.16,1.64,0.58,12.5,0.9,43.14,0.25,0.9,6.33,3.66,0.7,44.54,1.69,Yusuf Erdoğan,yusuf-erdogan,Adana Demirspor,
0.2,0.2,2.02,0.85,10.0,0.44,28.21,0.16,1.45,9.13,3.59,0.97,40.5,0.85,Carlo Holse,carlo-holse,Yılport Samsunspor,
0.2,0.08,0.45,0.25,44.44,0.55,84.62,0.05,0.3,2.95,2.85,2.15,57.47,1.15,Jerome Opoku,opoku-jerome,Başakşehir FK,
0.2,0.3,1.78,0.59,11.11,1.28,50.0,0.0,0.89,7.9,3.26,0.69,41.24,0.99,Abdoulay Diaby,abdoulay-diaby,Pendikspor,
0.2,0.27,1.96,0.65,10.0,1.43,59.46,0.13,0.78,5.22,6.2,1.7,51.93,2.67,Carlos Eduardo,carlos-eduardo,Alanyaspor,
0.19,0.13,1.2,0.47,16.13,2.02,65.82,0.12,1.2,9.31,3.45,0.74,45.0,0.54,Oluwafisayo Dele-Bashiru,dele-bashiru-oluwafisayo,Hatayspor,
0.19,0.15,1.86,0.77,10.42,2.09,60.67,0.08,1.08,7.39,6.54,1.08,52.53,2.55,Ibrahim Olawoyin,ibrahim-olawoyin,,Çaykur Rizespor
0.19,0.28,2.3,0.77,8.33,1.34,43.75,0.0,0.77,6.91,5.18,2.69,38.68,1.73,Brayan Riascos,brayan-riascos,,Gaziantep FK
0.19,0.11,1.47,0.47,12.9,1.95,49.4,0.09,2.37,11.01,4.08,0.19,42.45,0.71,Sam Larsson,sam-larsson,,Antalyaspor
0.19,0.09,1.27,0.42,14.81,0.57,46.15,0.05,0.99,8.58,3.11,0.94,46.74,1.56,Marcus Rohdén,marcus-rohden,,Fatih Karagümrük
0.18,0.15,3.02,1.24,5.88,2.37,57.14,0.53,2.37,8.05,4.62,0.12,52.63,1.13,Yusuf Sarı,yusuf-sari,,Adana Demirspor
0.17,0.29,2.62,0.7,6.67,0.87,52.63,0.09,0.61,5.5,2.1,2.36,39.53,0.79,Kevin Lasagna,kevin-lasagna,,Fatih Karagümrük
0.17,0.26,2.37,1.1,7.32,2.31,56.34,0.17,0.81,3.82,5.21,0.75,47.47,1.39,Renaldo Cephas,renaldo-cephas,,MKE Ankaragücü
